data/year,data/month,data/dayOfMonth,data/hourOfDay,data/minute,data/second,textoIdentificador,valor,descricao,numeroDOC,classificada,tipos/0,tipos/1
2017,2,1,0,0,0,Saldo Corrente,89731.57,Saldo inicial do mes,00000000,true,OUTRAS_RECEITAS,SALDO_CORRENTE
2017,2,1,8,15,22,CHQ CMP INTEGRADA,-10271.16,,002.126,false,OUTROS,
2017,2,1,8,15,22,CHQ CMP INTEGRADA,-80,,002.216,false,OUTROS,
2017,2,1,8,15,22,CRÉD.LIQ.COBRANÇA,1152.11,,0023522701,false,OUTRAS_RECEITAS,
2017,2,1,8,15,22,DEB.PARC.SUBS/INTEG,-50,,1085,false,OUTROS,
2017,2,1,8,15,22,TARIFA COBRANÇA,-17.4,,0023522701,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,1,8,15,22,CRÉD.LIQ.COBRANÇA,1152.11,,ICP-4291,false,OUTRAS_RECEITAS,
2017,2,1,8,15,22,TARIFA COBRANÇA,-17.4,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,1,8,15,22,TARIFA PRÉ-DEPÓSITO,-10.27,,67,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,1,8,15,22,DEB PACOTE TARIFAS,-28.75,,129,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,1,0,0,0,RDC - Longo CDI,45617.18,Valor aplicacao no mes,11111111,true,OUTRAS_RECEITAS,VALOR_APLICACAO
2017,2,2,8,15,22,CHEQUE PAGO CAIXA,-2260,,002.249,false,OUTROS,
2017,2,2,8,15,22,CHEQUE PAGO CAIXA,-489.4,,002.242,false,OUTROS,
2017,2,2,8,15,22,CHEQUE PAGO CAIXA,-198.62,,002.243,false,OUTROS,
2017,2,2,8,15,22,CHEQUE PAGO CAIXA,-453.7,,002.244,false,OUTROS,
2017,2,2,8,15,22,CRÉD.LIQ.COBRANÇA,2387.78,,ICP-4291,false,OUTRAS_RECEITAS,
2017,2,2,8,15,22,TARIFA COBRANÇA,-37.7,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,3,8,15,22,CHEQUE PAGO CAIXA,-250,,002.247,false,OUTROS,
2017,2,3,8,15,22,CRÉD.LIQ.COBRANÇA,1689.27,,ICP-4291,false,OUTRAS_RECEITAS,
2017,2,3,8,15,22,TARIFA COBRANÇA,-17.4,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,6,8,15,22,EST.CRED LIQ COB,-1152.11,,EST COB 01,false,OUTROS,
2017,2,6,8,15,22,CRÉD.LIQ.COBRANÇA,1786.71,,ICP-4291,false,OUTRAS_RECEITAS,
2017,2,6,8,15,22,TARIFA COBRANÇA,-17.4,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,7,8,15,22,CHEQUE PAGO CAIXA,-1789.54,,002.259,false,OUTROS,
2017,2,7,8,15,22,DÉB.TIT.COMPE.EFETI,-418.34,,352770,false,OUTROS,
2017,2,7,8,15,22,CHEQUE PAGO CAIXA,-11032.21,,002.258,false,OUTROS,
2017,2,7,8,15,22,CHEQUE PAGO CAIXA,-1255.93,,002.260,false,OUTROS,
2017,2,7,8,15,22,CHQ CMP INTEGRADA,-36946.5,,002.255,false,OUTROS,
2017,2,7,8,15,22,TARIFA PRÉ-DEPÓSITO,-36.95,,67,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,8,8,15,22,CHEQUE PAGO CAIXA,-330,,002.254,false,OUTROS,
2017,2,9,8,15,22,DÉB.TIT.COMPE.EFETI,-571.29,,354219,false,OUTROS,
2017,2,9,8,15,22,APLICAÇÃO RDC,-13846.35,,41 - 1,true,APLICACAO,
2017,2,9,8,15,22,CHEQUE PAGO CAIXA,-130.5,,002.267,false,OUTROS,
2017,2,9,8,15,22,CHEQUE PAGO CAIXA,-1081,,002.265,false,OUTROS,
2017,2,9,8,15,22,CHEQUE PAGO CAIXA,-500,,002.264,false,OUTROS,
2017,2,10,8,15,22,CHEQUE PAGO CAIXA,-60,,002.273,false,OUTROS,
2017,2,10,8,15,22,CHEQUE PAGO CAIXA,-387,,002.270,false,OUTROS,
2017,2,10,8,15,22,CHEQUE PAGO CAIXA,-209.59,,002.271,false,OUTROS,
2017,2,10,8,15,22,CHQ CMP INTEGRADA,-397,,002.257,false,OUTROS,
2017,2,13,8,15,22,DÉB.CNV.EN.ELET.GAS,-607.89,,356548,false,OUTROS,
2017,2,13,8,15,22,DÉB.CNV.EN.ELET.GAS,-76.76,,356549,false,OUTROS,
2017,2,13,8,15,22,DÉB.CNV.EN.ELET.GAS,-982.82,,356552,false,OUTROS,
2017,2,13,8,15,22,DÉB.CNV.EN.ELET.GAS,-829.72,,356556,false,OUTROS,
2017,2,13,8,15,22,DÉB.CNV.EN.ELET.GAS,-66.05,,356563,false,OUTROS,
2017,2,13,8,15,22,DÉB.CNV.EN.ELET.GAS,-2406.06,,356565,false,OUTROS,
2017,2,13,8,15,22,DÉB.CNV.EN.ELET.GAS,-193.61,,356567,false,OUTROS,
2017,2,13,8,15,22,DÉB.CNV.EN.ELET.GAS,-908.1,,356570,false,OUTROS,
2017,2,13,8,15,22,DÉB.TIT.COMPE.EFETI,-339,,356587,false,OUTROS,
2017,2,13,8,15,22,FORN. FL. CH. TALÃO,-13.5,,17,false,OUTROS,
2017,2,14,8,15,22,DÉB. TIT. COBRANÇA,-88.44,,358053,false,OUTROS,
2017,2,14,8,15,22,CHQ CMP INTEGRADA,-1505,,002.253,false,OUTROS,
2017,2,14,8,15,22,CRÉD.LIQ.COBRANÇA,517.37,,0000126101,false,OUTRAS_RECEITAS,
2017,2,14,8,15,22,CRÉD.LIQ.COBRANÇA,1534.86,,ICP-4291,false,OUTRAS_RECEITAS,
2017,2,14,8,15,22,TARIFA COBRANÇA,-17.4,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,14,8,15,22,TARIFA COBRANÇA,-2.9,,0000126101,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,15,8,15,22,CHQ CMP NACIONAL,-1000,,002.248,false,OUTROS,
2017,2,15,8,15,22,CRÉD.LIQ.COBRANÇA,806.57,,0000108901,false,OUTRAS_RECEITAS,
2017,2,15,8,15,22,CRÉD.LIQ.COBRANÇA,3322.32,,ICP-4291,false,OUTRAS_RECEITAS,
2017,2,15,8,15,22,TARIFA COBRANÇA,-34.8,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,15,8,15,22,TARIFA COBRANÇA,-2.9,,0000108901,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,16,8,15,22,RESGATE RDC,16150.24,,41 - 9,false,OUTRAS_RECEITAS,
2017,2,16,8,15,22,RESGATE RDC,5366.73,,41 - 10,false,OUTRAS_RECEITAS,
2017,2,16,8,15,22,RESGATE RDC,174.52,,41 - 5,false,OUTRAS_RECEITAS,
2017,2,16,8,15,22,CRÉD.LIQ.COBRANÇA,499.7,,0000119001,false,OUTRAS_RECEITAS,
2017,2,16,8,15,22,CRÉD.LIQ.COBRANÇA,4780.2,,ICP-4291,false,OUTRAS_RECEITAS,
2017,2,16,8,15,22,TARIFA COBRANÇA,-121.8,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,16,8,15,22,TARIFA COBRANÇA,-2.9,,0000119001,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,17,8,15,22,CHEQUE PAGO CAIXA,-4666,,002.274,false,OUTROS,
2017,2,17,8,15,22,DÉB.TIT.COMPE.EFETI,-136.04,,360404,false,OUTROS,
2017,2,17,8,15,22,CHEQUE PAGO CAIXA,-150,,002.276,false,OUTROS,
2017,2,17,8,15,22,CHEQUE PAGO CAIXA,-220,,002.272,false,OUTROS,
2017,2,17,8,15,22,CHEQUE PAGO CAIXA,-176,,002.277,false,OUTROS,
2017,2,17,8,15,22,CHQ CMP INTEGRADA,-530,,002.214,false,OUTROS,
2017,2,17,8,15,22,CRED LIQ COB,619.29,CRED TIT LIQUIDADO NN 22198-0,221980,false,OUTRAS_RECEITAS,
2017,2,17,8,15,22,TAR.SERV.COBRANÇA,-2.9,REF NN: 22198-0,BOLETO,false,OUTROS,
2017,2,17,8,15,22,CRÉD.LIQ.COBRANÇA,751.63,,0000106401,false,OUTRAS_RECEITAS,
2017,2,17,8,15,22,CRÉD.LIQ.COBRANÇA,25906.98,,ICP-4291,false,OUTRAS_RECEITAS,
2017,2,17,8,15,22,TARIFA COBRANÇA,-205.9,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,17,8,15,22,TARIFA COBRANÇA,-5.8,,0000132601,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,20,8,15,22,CHEQUE PAGO CAIXA,-270,,002.251,false,OUTROS,
2017,2,20,8,15,22,CHEQUE PAGO CAIXA,-4548.5,,002.252,false,OUTROS,
2017,2,20,8,15,22,CHEQUE PAGO CAIXA,-5223.5,,002.261,false,OUTROS,
2017,2,20,8,15,22,CHEQUE PAGO CAIXA,-156.99,,002.262,false,OUTROS,
2017,2,20,8,15,22,CHEQUE PAGO CAIXA,-53.71,,002.263,false,OUTROS,
2017,2,20,8,15,22,CHEQUE PAGO CAIXA,-100,,002.172,false,OUTROS,
2017,2,20,8,15,22,CHQ CMP NACIONAL,-21691.49,,002.230,false,OUTROS,
2017,2,20,8,15,22,CRED LIQ COB,418.18,CRED TIT LIQUIDADO NN 21631-7,216317,false,OUTRAS_RECEITAS,
2017,2,20,8,15,22,TAR.SERV.COBRANÇA,-2.9,REF NN: 21631-7,BOLETO,false,OUTROS,
2017,2,20,8,15,22,CRED LIQ COB,837.17,,0021953401,false,OUTRAS_RECEITAS,
2017,2,20,8,15,22,CRÉD.LIQ.COBRANÇA,10029.02,,0000114301,false,OUTRAS_RECEITAS,
2017,2,20,8,15,22,CRÉD.LIQ.COBRANÇA,24681.78,,ICP-4291,false,OUTRAS_RECEITAS,
2017,2,20,8,15,22,TARIFA COBRANÇA,-284.2,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,20,8,15,22,TARIFA COBRANÇA,-46.4,,0000134001,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,20,8,15,22,TARIFA PRÉ-DEPÓSITO,-21.69,,67,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,21,8,15,22,DÉB.CONV.TELECOMUN.,-99.1,,362537,false,OUTROS,
2017,2,21,8,15,22,CHEQUE PAGO CAIXA,-671,,002.278,false,OUTROS,
2017,2,21,8,15,22,CRÉD.LIQ.COBRANÇA,3265.42,,0000136501,false,OUTRAS_RECEITAS,
2017,2,21,8,15,22,CRÉD.LIQ.COBRANÇA,86.81,,ICP-4291,false,OUTRAS_RECEITAS,
2017,2,21,8,15,22,TARIFA COBRANÇA,-2.9,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,21,8,15,22,TARIFA COBRANÇA,-11.6,,0000137201,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,22,8,15,22,CHEQUE PAGO CAIXA,-2000,,002.281,false,OUTROS,
2017,2,22,8,15,22,CHEQUE PAGO CAIXA,-250,,002.280,false,OUTROS,
2017,2,22,8,15,22,CRÉD.LIQ.COBRANÇA,415.22,,0000138001,false,OUTRAS_RECEITAS,
2017,2,22,8,15,22,TARIFA COBRANÇA,-2.9,,0000138001,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,22,8,15,22,FORN. FL. CH. TALÃO,-27,,17,false,OUTROS,
2017,2,23,8,15,22,CHQ CMP INTEGRADA,-2500,,002.286,false,OUTROS,
2017,2,23,8,15,22,TARIFA COBRANÇA,-8.7,,0000127901,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,24,8,15,22,CRÉD.LIQ.COBRANÇA,2967.01,,0000140501,false,OUTRAS_RECEITAS,
2017,2,24,8,15,22,TARIFA COBRANÇA,-5.8,,0000140501,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,27,8,15,22,CHQ CMP INTEGRADA,-170,,002.275,false,OUTROS,
2017,2,27,8,15,22,CRÉD.LIQ.COBRANÇA,86.81,,ICP-4291,false,OUTRAS_RECEITAS,
2017,2,27,8,15,22,TARIFA COBRANÇA,-2.9,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,28,8,15,22,CHEQUE PAGO CAIXA,-2756.52,,002.287,false,OUTROS,
2017,2,28,8,15,22,CHEQUE PAGO CAIXA,-410,,002.288,false,OUTROS,
2017,2,28,8,15,22,CHEQUE PAGO CAIXA,-168.67,,002.284,false,OUTROS,
2017,2,28,8,15,22,CRÉD.LIQ.COBRANÇA,7207.13,,0000150901,false,OUTRAS_RECEITAS,
2017,2,28,8,15,22,TARIFA COBRANÇA,-8.7,,0000150901,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,29,8,15,22,CHEQUE PAGO CAIXA,-600,,002.283,false,OUTROS,
2017,2,29,8,15,22,CRED LIQ COB,1,CRED TIT INEXISTENTE NN 12076-6,16,false,OUTRAS_RECEITAS,
2017,2,29,8,15,22,TARIFA COBRANÇA,-2.9,,0000105701,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,30,8,15,22,DÉB.TIT.COMPE.EFETI,-310,,367959,false,OUTROS,
2017,2,30,8,15,22,CHQ CMP INTEGRADA,-50,,002.269,false,OUTROS,
2017,2,30,8,15,22,CRÉD.LIQ.COBRANÇA,150,,0000151601,false,OUTRAS_RECEITAS,
2017,2,30,8,15,22,TARIFA COBRANÇA,-2.9,,0000151601,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,2,31,8,15,22,CHEQUE PAGO CAIXA,-1671.64,,002.302,false,OUTROS,
2017,2,31,8,15,22,CRÉD.LIQ.COBRANÇA,3883.34,,0000152301,false,OUTRAS_RECEITAS,
2017,2,31,8,15,22,TARIFA COBRANÇA,-8.7,,0000154801,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,1,0,0,0,Saldo Corrente,68581.74,Saldo inicial do mes,00000000,true,OUTRAS_RECEITAS,SALDO_CORRENTE
2017,3,1,0,0,0,RDC - Longo CDI,24101.73,Valor aplicacao no mes,11111111,true,OUTRAS_RECEITAS,VALOR_APLICACAO
2017,3,3,8,15,21,CHEQUE PAGO CAIXA,-36957.06,,002.294,false,OUTROS,
2017,3,3,8,15,21,CHEQUE PAGO CAIXA,-236.64,,002.285,false,OUTROS,
2017,3,3,8,15,21,DÉB.TIT.COMPE.EFETI,-130,,370044,false,OUTROS,
2017,3,3,8,15,21,DEB.PARC.SUBS/INTEG,-50,,4990,false,OUTROS,
2017,3,3,8,15,21,CRÉD.LIQ.COBRANÇA,520.86,,ICP-4291,false,OUTRAS_RECEITAS,
2017,3,3,8,15,21,TARIFA COBRANÇA,-17.4,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,3,8,15,21,DEB PACOTE TARIFAS,-28.75,,129,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,4,8,15,21,DÉB.TIT.COMPE.EFETI,-163.43,,370681,false,OUTROS,
2017,3,4,8,15,21,CHEQUE PAGO CAIXA,-250,,002.298,false,OUTROS,
2017,3,4,8,15,21,CHEQUE PAGO CAIXA,-1467.22,,002.300,false,OUTROS,
2017,3,4,8,15,21,CRÉD.LIQ.COBRANÇA,173.62,,ICP-4291,false,OUTRAS_RECEITAS,
2017,3,4,8,15,21,TARIFA COBRANÇA,-5.8,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,5,8,15,21,DÉB CONV. FGTS,-378.19,,371429,false,OUTROS,
2017,3,5,8,15,21,CHQ CMP INTEGRADA,-280,,002.266,false,OUTROS,
2017,3,5,8,15,21,CRÉD.LIQ.COBRANÇA,927.66,,ICP-4291,false,OUTRAS_RECEITAS,
2017,3,5,8,15,21,TARIFA COBRANÇA,-20.3,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,5,8,15,21,FORN. FL. CH. TALÃO,-13.5,,17,false,OUTROS,
2017,3,6,8,15,21,CHEQUE PAGO CAIXA,-2260,,002.289,false,OUTROS,
2017,3,6,8,15,21,CHQ CMP NACIONAL,-10271.16,,002.127,false,OUTROS,
2017,3,6,8,15,21,CRED LIQ COB,438.48,CRED TIT JA LIQUIDADO NN 126-1,1261,false,OUTRAS_RECEITAS,
2017,3,6,8,15,21,TAR.SERV.COBRANÇA,-2.9,,1261,false,OUTROS,
2017,3,6,8,15,21,CRÉD.LIQ.COBRANÇA,687.77,,0000045001,false,OUTRAS_RECEITAS,
2017,3,6,8,15,21,CRÉD.LIQ.COBRANÇA,173.62,,ICP-4291,false,OUTRAS_RECEITAS,
2017,3,6,8,15,21,TARIFA COBRANÇA,-5.8,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,6,8,15,21,TARIFA COBRANÇA,-2.9,,0000045001,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,6,8,15,21,TARIFA PRÉ-DEPÓSITO,-10.27,,67,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,7,8,15,21,CHEQUE PAGO CAIXA,-3295.72,,002.303,false,OUTROS,
2017,3,7,8,15,21,CHEQUE PAGO CAIXA,-240,,002.315,false,OUTROS,
2017,3,7,8,15,21,CHEQUE PAGO CAIXA,-112.5,,002.316,false,OUTROS,
2017,3,7,8,15,21,CHEQUE PAGO CAIXA,-8541.69,,002.307,false,OUTROS,
2017,3,7,8,15,21,CHEQUE PAGO CAIXA,-1194.62,,002.309,false,OUTROS,
2017,3,7,8,15,21,CHEQUE PAGO CAIXA,-1682.37,,002.308,false,OUTROS,
2017,3,7,8,15,21,CRÉD.LIQ.COBRANÇA,2258.4,,0000016601,false,OUTRAS_RECEITAS,
2017,3,7,8,15,21,TARIFA COBRANÇA,-11.6,,0003407401,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,10,8,15,21,RESGATE RDC,15257.98,,41 - 11,false,OUTRAS_RECEITAS,
2017,3,10,8,15,21,RESGATE RDC,6433.51,,41 - 10,false,OUTRAS_RECEITAS,
2017,3,10,8,15,21,CHEQUE PAGO CAIXA,-5319.79,,002.318,false,OUTROS,
2017,3,10,8,15,21,CHEQUE PAGO CAIXA,-205,,002.314,false,OUTROS,
2017,3,10,8,15,21,CHEQUE PAGO CAIXA,-571.29,,002.292,false,OUTROS,
2017,3,10,8,15,21,CHEQUE PAGO CAIXA,-1368.34,,002.291,false,OUTROS,
2017,3,10,8,15,21,DÉB CONV. FGTS,-81.02,,374195,false,OUTROS,
2017,3,10,8,15,21,DÉB. TIT. COBRANÇA,-88,,374297,false,OUTROS,
2017,3,10,8,15,21,CHQ CMP INTEGRADA,-671,,002.279,false,OUTROS,
2017,3,10,8,15,21,CHQ CMP INTEGRADA,-1000,,002.297,false,OUTROS,
2017,3,10,8,15,21,CRÉD.LIQ.COBRANÇA,571.95,,ICP-4291,false,OUTRAS_RECEITAS,
2017,3,10,8,15,21,TARIFA COBRANÇA,-8.7,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,11,8,15,21,DÉB.CONV.TELECOMUN.,-130.91,,375661,false,OUTROS,
2017,3,11,8,15,21,CHQ CMP INTEGRADA,-1505,,002.295,false,OUTROS,
2017,3,12,8,15,21,CRÉD.DIST.SOBRAS,4961.06,,SOBRAS OP,false,OUTRAS_RECEITAS,
2017,3,12,8,15,21,DÉB.CONV.TELECOMUN.,-91.55,,376373,false,OUTROS,
2017,3,12,8,15,21,DEP.DINHEIRO,81.02,NOME: REFERENTE A PAGAMENTO INDEVIDO DE,10,false,OUTRAS_RECEITAS,
2017,3,12,8,15,21,CHQ CMP INTEGRADA,-3250,,002.301,false,OUTROS,
2017,3,12,8,15,21,CRÉD.LIQ.COBRANÇA,86.81,,ICP-4291,false,OUTRAS_RECEITAS,
2017,3,12,8,15,21,TARIFA COBRANÇA,-2.9,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,13,8,15,21,DÉB.TIT.COMPE.EFETI,-1530.55,,377048,false,OUTROS,
2017,3,13,8,15,21,CRED LIQ COB,371.03,CRED TIT VLR NOMINAL INVALIDO NN 123-0,1230,false,OUTRAS_RECEITAS,
2017,3,13,8,15,21,TAR.SERV.COBRANÇA,-2.9,,1230,false,OUTROS,
2017,3,13,8,15,21,CRÉD.LIQ.COBRANÇA,486.59,,0000054601,false,OUTRAS_RECEITAS,
2017,3,13,8,15,21,TARIFA COBRANÇA,-2.9,,0000054601,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,17,8,15,21,CRED LIQ COB,490.81,CRED TIT JA LIQUIDADO NN 118-2,1182,false,OUTRAS_RECEITAS,
2017,3,17,8,15,21,CRED LIQ COB,383.43,CRED TIT VLR NOMINAL INVALIDO NN 155-5,1555,false,OUTRAS_RECEITAS,
2017,3,17,8,15,21,TAR.SERV.COBRANÇA,-5.8,,1555,false,OUTROS,
2017,3,17,8,15,21,CRÉD.LIQ.COBRANÇA,6645.61,,0000018001,false,OUTRAS_RECEITAS,
2017,3,17,8,15,21,CRÉD.LIQ.COBRANÇA,260.43,,ICP-4291,false,OUTRAS_RECEITAS,
2017,3,17,8,15,21,TARIFA COBRANÇA,-8.7,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,17,8,15,21,TARIFA COBRANÇA,-20.3,,0003345201,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,18,8,15,21,DÉB. TIT. COBRANÇA,-260,,379329,false,OUTROS,
2017,3,18,8,15,21,CHEQUE PAGO CAIXA,-132.15,,002.325,false,OUTROS,
2017,3,18,8,15,21,CHEQUE PAGO CAIXA,-3866,,002.329,false,OUTROS,
2017,3,18,8,15,21,CHEQUE PAGO CAIXA,-235,,002.324,false,OUTROS,
2017,3,18,8,15,21,CHEQUE PAGO CAIXA,-1900,,002.321,false,OUTROS,
2017,3,18,8,15,21,CRED LIQ COB,584.78,CRED TIT JA LIQUIDADO NN 152-3,1523,false,OUTRAS_RECEITAS,
2017,3,18,8,15,21,TAR.SERV.COBRANÇA,-2.9,,1523,false,OUTROS,
2017,3,18,8,15,21,CRÉD.LIQ.COBRANÇA,7817.59,,0003355601,false,OUTRAS_RECEITAS,
2017,3,18,8,15,21,CRÉD.LIQ.COBRANÇA,694.48,,ICP-4291,false,OUTRAS_RECEITAS,
2017,3,18,8,15,21,TARIFA COBRANÇA,-23.2,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,18,8,15,21,TARIFA COBRANÇA,-40.6,,0003355601,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,18,8,15,21,FORN. FL. CH. TALÃO,-27,,17,false,OUTROS,
2017,3,19,8,15,21,CHQ CMP INTEGRADA,-120,,002.282,false,OUTROS,
2017,3,19,8,15,21,CHQ CMP INTEGRADA,-60,,002.290,false,OUTROS,
2017,3,19,8,15,21,CRED LIQ COB,440.4,CRED TIT JA LIQUIDADO NN 102-5,1025,false,OUTRAS_RECEITAS,
2017,3,19,8,15,21,CRED LIQ COB,452.82,CRED TIT JA LIQUIDADO NN 104-0,1040,false,OUTRAS_RECEITAS,
2017,3,19,8,15,21,CRED LIQ COB,471.56,CRED TIT JA LIQUIDADO NN 107-1,1071,false,OUTRAS_RECEITAS,
2017,3,19,8,15,21,CRED LIQ COB,472.92,CRED TIT JA LIQUIDADO NN 108-9,1089,false,OUTRAS_RECEITAS,
2017,3,19,8,15,21,CRED LIQ COB,456.77,CRED TIT VLR NOMINAL INVALIDO NN 109-6,1096,false,OUTRAS_RECEITAS,
2017,3,19,8,15,21,CRED LIQ COB,472.23,CRED TIT VLR NOMINAL INVALIDO NN 110-4,1104,false,OUTRAS_RECEITAS,
2017,3,19,8,15,21,TAR.SERV.COBRANÇA,-17.4,,1104,false,OUTROS,
2017,3,19,8,15,21,CRÉD.LIQ.COBRANÇA,21295.73,,0000051401,false,OUTRAS_RECEITAS,
2017,3,19,8,15,21,CRÉD.LIQ.COBRANÇA,260.43,,ICP-4291,false,OUTRAS_RECEITAS,
2017,3,19,8,15,21,TARIFA COBRANÇA,-8.7,,ICP-4291,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,19,8,15,21,TARIFA COBRANÇA,-98.6,,0003366701,true,DESPESAS_ADMINISTRATIVAS,TARIFAS_BANCARIAS
2017,3,20,8,15,21,CHEQUE PAGO CAIXA,-149.33,,002.311,false,OUTROS,
2017,3,20,8,15,21,CHEQUE PAGO CAIXA,-23.34,,002.312,false,OUTROS,
2017,3,20,8,15,21,CHEQUE PAGO CAIXA,-4915.34,,002.310,false,OUTROS,
2017,3,20,8,15,21,CHEQUE PAGO CAIXA,-147.88,,002.306,false,OUTROS,
2017,3,20,8,15,21,CHEQUE PAGO CAIXA,-4537.94,,002.296,false,OUTROS,
2017,3,20,8,15,21,CHEQUE PAGO CAIXA,-354,,002.327,false,OUTROS,
2017,3,20,8,15,21,CHEQUE PAGO CAIXA,-1000,,002.328,false,OUTROS,
2017,3,20,8,15,21,CRED LIQ COB,453.81,CRED TIT JA LIQUIDADO NN 101-8,1018,false,OUTRAS_RECEITAS,
2017,3,20,8,15,21,CRED LIQ COB,427.59,CRED TIT JA LIQUIDADO NN 113-6,1136,false,OUTRAS_RECEITAS,
2017,3,20,8,15,21,CRED LIQ COB,442.92,CRED TIT JA LIQUIDADO NN 115-0,1150,false,OUTRAS_RECEITAS,
